Fecha,Irán_INI,Pakistan_INI,Francia_INI,México_INI,South Africa_INI,Chile_INI,China_INI,Saudi Arabia_INI,Perú_INI,Estados Unidos_INI,India_INI,Reino Unido_INI,Alemania_INI,Italia_INI,Bangladesh_INI,Rusia_INI,Turquía_INI,España_INI,Brasil_INI,Irán Diario,Francia Diario,México Diario,Chile Diario,China Diario,Perú Diario,Estados Unidos Diario,India Diario,Reino Unido Diario,Alemania Diario,Italia Diario,Rusia Diario,Turquía Diario,España Diario,Brasil Diario,Pakistán Diario,Arabia Saudita Diario,Sudáfrica Diario,Bangladesh Diario,Irán,Francia,México,Chile,China,Perú,Estados Unidos,India,Reino Unido,Alemania,Italia,Rusia,Turquía,España,Brasil,Pakistán,Arabia Saudita,Sudáfrica,Bangladesh
20200122,0,0,0,0,0,0,548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200123,0,0,0,0,0,0,643,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200124,0,0,2,0,0,0,920,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200125,0,0,3,0,0,0,1406,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200126,0,0,3,0,0,0,2075,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200127,0,0,3,0,0,0,2877,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200128,0,0,4,0,0,0,5509,0,0,5,0,0,4,0,0,0,0,0,0,0,1,0,0,2632,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200129,0,0,5,0,0,0,6087,0,0,5,0,0,4,0,0,0,0,0,0,0,1,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200130,0,0,5,0,0,0,8141,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,2054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200131,0,0,5,0,0,0,9802,0,0,7,1,2,5,2,0,2,0,0,0,0,0,0,0,1661,0,2,0,2,1,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200201,0,0,6,0,0,0,11891,0,0,8,1,2,8,2,0,2,0,1,0,0,1,0,0,2089,0,1,0,0,3,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200202,0,0,6,0,0,0,16630,0,0,8,2,2,10,2,0,2,0,1,0,0,0,0,0,4739,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200203,0,0,6,0,0,0,19716,0,0,11,3,8,12,2,0,2,0,1,0,0,0,0,0,3086,0,3,1,6,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
20200204,0,0,6,0,0,0,23707,0,0,11,3,8,12,2,0,2,0,1,0,0,0,0,0,3991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,0,1,0,1,1,0,0,0,0,0,0,0,0,0
20200205,0,0,6,0,0,0,27440,0,0,11,3,9,12,2,0,2,0,1,0,0,0,0,0,3733,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,0,1,0,1,1,0,0,0,0,0,0,0,0,0
20200206,0,0,6,0,0,0,30587,0,0,11,3,9,12,2,0,2,0,1,0,0,0,0,0,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139,0,1,0,1,1,0,0,0,0,0,0,0,0,0
