Fecha,Irán_INI,Francia_INI,México_INI,Chile_INI,China_INI,Perú_INI,Estados Unidos_INI,India_INI,Reino Unido_INI,Alemania_INI,Italia_INI,Rusia_INI,Turquía_INI,España_INI,Brasil_INI,Irán Diario,Francia Diario,México Diario,Chile Diario,China Diario,Perú Diario,Estados Unidos Diario,India Diario,Reino Unido Diario,Alemania Diario,Italia Diario,Rusia Diario,Turquía Diario,España Diario,Brasil Diario,Irán,Francia,México,Chile,China,Perú,Estados Unidos,India,Reino Unido,Alemania,Italia,Rusia,Turquía,España,Brasil
20200122,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200123,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200124,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200125,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200126,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200127,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200128,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200129,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200130,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200131,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200201,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200202,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200203,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20200204,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
20200205,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
20200206,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0
20200207,0,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0
20200208,0,0,0,0,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0
20200209,0,0,0,0,3219,0,3,0,0,0,0,0,0,0,0,0,0,0,0,623,0,3,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0
20200210,0,0,0,0,3918,0,3,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0
20200211,0,0,0,0,4636,0,3,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0
20200212,0,2,0,0,5082,0,3,0,1,0,0,2,0,0,0,0,2,0,0,446,0,0,0,1,0,0,2,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0
20200213,0,2,0,0,6217,0,3,0,1,1,0,2,0,0,0,0,0,0,0,1135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0
20200214,0,2,0,0,7977,0,3,0,1,1,0,2,0,0,0,0,0,0,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0
20200215,0,4,0,0,9298,0,3,0,1,1,0,2,0,2,0,0,2,0,0,1321,0,0,0,0,0,0,0,0,2,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0
20200216,0,4,0,0,10755,0,3,3,8,1,0,2,0,2,0,0,0,0,0,1457,0,0,3,7,0,0,0,0,0,0,0,0,0,0,735,0,0,0,1,0,0,0,0,0,0
20200217,0,4,0,0,12462,0,3,3,8,1,0,2,0,2,0,0,0,0,0,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,1,0,0,0,0,0,0
