COUNT,SECTOR,SEXO,TIPO_PACIENTE,FECHA_DEF,NEUMONIA,EDAD,DIABETES,HIPERTENSION,OBESIDAD,TABAQUISMO,RESULTADO,ESTADO,ALGUNA COMORBILIDAD
9,,,,,,0,,,,,1,A,
124,,,,,,0,,,,,1,B,
1,,,,,,0,,,,,1,B,S
11,,,,,,0,,,,,1,C,
10,,,,,,0,,,,,1,D,
10,,,,,,0,,,,,1,E,
37,,,,,,0,,,,,1,F,
20,,,,,,0,,,,,1,G,
65,,,,,,0,,,,,1,H,
31,,,,,,0,,,,,1,I,
2,,,,,,0,,,,,1,I,S
28,,,,,,0,,,,,1,J,
2,,,,,,0,,,,,1,J,S
39,,,,,,0,,,,,1,K,
19,,,,,,0,,,,,1,L,
63,,,,,,0,,,,,1,M,
1,,,,,,0,,,,,1,M,S
25,,,,,,0,,,,,1,N,
30,,,,,,0,,,,,1,O,
1,,,,,,0,,,,,1,O,S
6,,,,,,0,,,,,1,P,
1,,,,,,0,,,,,1,P,S
37,,,,,,0,,,,,1,Q,
18,,,,,,0,,,,,1,R,
1,,,,,,0,,,,,1,R,S
27,,,,,,0,,,,,1,S,
15,,,,,,0,,,,,1,T,
66,,,,,,0,,,,,1,U,
2,,,,,,0,,,,,1,U,S
26,,,,,,0,,,,,1,V,
1,,,,,,0,,,,,1,V,S
12,,,,,,0,,,,,1,X,
2,,,,,,0,,,,,1,X,S
60,,,,,,0,,,,,1,Y,
1,,,,,,0,,,,,1,Y,S
31,,,,,,0,,,,,1,Z,
24,,,,,,0,,,,,1,a,
25,,,,,,0,,,,,1,b,
1,,,,,,0,,,,,1,b,S
7,,,,,,0,,,,,1,c,
8,,,,,,0,,,,,1,d,
13,,,,,,0,,,,,1,e,
1,,,,,,0,,,,,1,e,S
15,,,,,,0,,,,,1,f,
257,,,,,,0,,,,,1,h,
6,,,,,,0,,,,,1,h,S
1,,,,,,0,,,,S,1,U,S
1,,,,,,0,,,,S,1,V,S
1,,,,,,0,,,,S,1,b,S
2,,,,,,0,,,,S,1,h,S
1,,,,,,0,,,S,,1,N,S
1,,,,,,0,,,S,,1,U,S
1,,,,,,0,,,S,,1,f,S
2,,,,,,0,,,S,,1,h,S
1,,,,,,0,,D,,,1,U,S
1,,,,,,0,,S,,,1,S,S
3,,,,,,0,,S,,,1,h,S
1,,,,,,0,,S,S,,1,F,S
1,,,,,,0,D,D,D,D,1,S,
1,,,,,,0,S,,,,1,B,S
1,,,,,,0,S,,,,1,G,S
3,,,,,,0,S,,,,1,h,S
1,,,,,,0,S,,S,,1,F,S
1,,,,,,0,S,S,,,1,Q,S
1,,,,,,0,S,S,,,1,U,S
2,,,,,,0,S,S,,,1,h,S
1,,,,,,0,S,S,S,,1,h,S
33,,,,,,1,,,,,1,A,
285,,,,,,1,,,,,1,B,
7,,,,,,1,,,,,1,B,S
29,,,,,,1,,,,,1,C,
44,,,,,,1,,,,,1,D,
1,,,,,,1,,,,,1,D,S
15,,,,,,1,,,,,1,E,
1,,,,,,1,,,,,1,E,S
69,,,,,,1,,,,,1,F,
1,,,,,,1,,,,,1,F,S
50,,,,,,1,,,,,1,G,
3,,,,,,1,,,,,1,G,S
206,,,,,,1,,,,,1,H,
1,,,,,,1,,,,,1,H,S
113,,,,,,1,,,,,1,I,
97,,,,,,1,,,,,1,J,
2,,,,,,1,,,,,1,J,S
113,,,,,,1,,,,,1,K,
3,,,,,,1,,,,,1,K,S
73,,,,,,1,,,,,1,L,
2,,,,,,1,,,,,1,L,S
141,,,,,,1,,,,,1,M,
1,,,,,,1,,,,,1,M,S
93,,,,,,1,,,,,1,N,
1,,,,,,1,,,,,1,N,S
100,,,,,,1,,,,,1,O,
2,,,,,,1,,,,,1,O,S
33,,,,,,1,,,,,1,P,
1,,,,,,1,,,,,1,P,S
69,,,,,,1,,,,,1,Q,
6,,,,,,1,,,,,1,Q,S
45,,,,,,1,,,,,1,R,
107,,,,,,1,,,,,1,S,
40,,,,,,1,,,,,1,T,
184,,,,,,1,,,,,1,U,
1,,,,,,1,,,,,1,U,S
124,,,,,,1,,,,,1,V,
6,,,,,,1,,,,,1,V,S
40,,,,,,1,,,,,1,X,
139,,,,,,1,,,,,1,Y,
2,,,,,,1,,,,,1,Y,S
83,,,,,,1,,,,,1,Z,
1,,,,,,1,,,,,1,Z,S
86,,,,,,1,,,,,1,a,
139,,,,,,1,,,,,1,b,
4,,,,,,1,,,,,1,b,S
14,,,,,,1,,,,,1,c,
1,,,,,,1,,,,,1,c,S
22,,,,,,1,,,,,1,d,
59,,,,,,1,,,,,1,e,
2,,,,,,1,,,,,1,e,S
66,,,,,,1,,,,,1,f,
897,,,,,,1,,,,,1,h,
20,,,,,,1,,,,,1,h,S
1,,,,,,1,,,,S,1,B,S
2,,,,,,1,,,,S,1,M,S
1,,,,,,1,,,,S,1,N,S
1,,,,,,1,,,,S,1,f,S
1,,,,,,1,,,,S,1,h,S
1,,,,,,1,,,S,,1,B,S
1,,,,,,1,,,S,,1,M,S
1,,,,,,1,,,S,,1,b,S
1,,,,,,1,,,S,,1,f,S
6,,,,,,1,,,S,,1,h,S
1,,,,,,1,,,S,S,1,C,S
1,,,,,,1,,S,,,1,V,S
1,,,,,,1,,S,,,1,Y,S
3,,,,,,1,,S,,,1,h,S
1,,,,,,1,,S,S,,1,N,S
1,,,,,,1,,S,S,,1,h,S
1,,,,,,1,D,D,D,D,1,Z,
1,,,,,,1,D,D,D,D,1,h,
1,,,,,,1,S,,,,1,D,S
1,,,,,,1,S,,,,1,N,S
1,,,,,,1,S,,,,1,R,S
1,,,,,,1,S,,,,1,f,S
2,,,,,,1,S,,,,1,h,S
1,,,,,,1,S,S,,,1,G,S
1,,,,,,1,S,S,,,1,h,S
34,,,,,,10,,,,,1,A,
1,,,,,,10,,,,,1,A,S
279,,,,,,10,,,,,1,B,
8,,,,,,10,,,,,1,B,S
44,,,,,,10,,,,,1,C,
2,,,,,,10,,,,,1,C,S
76,,,,,,10,,,,,1,D,
2,,,,,,10,,,,,1,D,S
29,,,,,,10,,,,,1,E,
1,,,,,,10,,,,,1,E,S
79,,,,,,10,,,,,1,F,
6,,,,,,10,,,,,1,F,S
62,,,,,,10,,,,,1,G,
6,,,,,,10,,,,,1,G,S
273,,,,,,10,,,,,1,H,
5,,,,,,10,,,,,1,H,S
124,,,,,,10,,,,,1,I,
2,,,,,,10,,,,,1,I,S
161,,,,,,10,,,,,1,J,
4,,,,,,10,,,,,1,J,S
138,,,,,,10,,,,,1,K,
2,,,,,,10,,,,,1,K,S
61,,,,,,10,,,,,1,L,
4,,,,,,10,,,,,1,L,S
157,,,,,,10,,,,,1,M,
7,,,,,,10,,,,,1,M,S
96,,,,,,10,,,,,1,N,
3,,,,,,10,,,,,1,N,S
92,,,,,,10,,,,,1,O,
2,,,,,,10,,,,,1,O,S
115,,,,,,10,,,,,1,P,
4,,,,,,10,,,,,1,P,S
77,,,,,,10,,,,,1,Q,
4,,,,,,10,,,,,1,Q,S
54,,,,,,10,,,,,1,R,
1,,,,,,10,,,,,1,R,S
175,,,,,,10,,,,,1,S,
8,,,,,,10,,,,,1,S,S
78,,,,,,10,,,,,1,T,
2,,,,,,10,,,,,1,T,S
312,,,,,,10,,,,,1,U,
10,,,,,,10,,,,,1,U,S
146,,,,,,10,,,,,1,V,
16,,,,,,10,,,,,1,V,S
74,,,,,,10,,,,,1,X,
2,,,,,,10,,,,,1,X,S
114,,,,,,10,,,,,1,Y,
3,,,,,,10,,,,,1,Y,S
122,,,,,,10,,,,,1,Z,
5,,,,,,10,,,,,1,Z,S
122,,,,,,10,,,,,1,a,
6,,,,,,10,,,,,1,a,S
76,,,,,,10,,,,,1,b,
5,,,,,,10,,,,,1,b,S
