Fecha,Confirmados,Sospechosos,Negativos,Muertes,Casos Nuevos,Porcentaje Nuevos,Distribución Probabilidad,Velocidad Contagio,Nuevos Sospechosos,Nuevos Negativos,Nuevas Muertes,Diferencia Velocidad Contagio,Recuperados,Nuevos Recuperados,Predicción Factor Mañana,Predicción Confirmados Mañana,Error,Activos,Nuevos Activos,Velocidad Muertes,Diferencia Velocidad Muertes,Velocidad Recuperados,Diferencia Velocidad Recuperados,Velocidad Negativos,Diferencia Velocidad Negativos,Velocidad Sospechosos,Diferencia Velocidad Sospechosos,Proyección,Column1,Pruebas,Nuevas Pruebas,Velocidad Pruebas,Diferencia Velocidad Pruebas
20200227,1,0,22,0,1,100.00,4.42684E-05,1.000,1,22,0,1.000000000000000000000000000000,0,0,,1,0,1,0,1.000,1.000000000000000000000000000000,1,1.000000000000000000000000000000,1,1.000000000000000000000000000000,1,1.000000000000000000000000000000,1,9,23,0,1,1
20200228,3,3,37,0,2,200.00,4.4282E-05,3.000,3,15,0,2.000000000000000000000000000000,0,0,,3,0.666666667,3,2,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.681818182,0.681818181818182000000000000000,1,0.000000000000000000000000000000,1,26,43,20,1.869565217,0.869565217
20200229,4,8,46,0,1,33.33,4.42684E-05,1.333,5,9,0,-1.666666666666670000000000000000,0,0,1,5,0.25,4,1,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.243243243,-0.438574938574939000000000000000,2.666666667,1.666666666666670000000000000000,3,35,58,15,1.348837209,-0.520728008
20200301,5,11,60,0,1,25.00,4.42684E-05,1.250,3,14,0,-0.083333333333333300000000000000,0,0,1,6,0,5,1,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.304347826,0.061104582843713300000000000000,1.375,-1.291666666666670000000000000000,5,44,76,18,1.310344828,-0.038492382
20200302,5,21,69,0,0,0.00,4.42548E-05,1.000,10,9,0,-0.250000000000000000000000000000,0,0,1,6,-0.2,5,0,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.15,-0.154347826086957000000000000000,1.909090909,0.534090909090909000000000000000,6,44,95,19,1.25,-0.060344828
20200303,5,39,75,0,0,0.00,4.42548E-05,1.000,18,6,0,0.000000000000000000000000000000,1,1,0,5,-0.2,4,-1,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.086956522,-0.063043478260869500000000000000,1.857142857,-0.051948051948052000000000000000,6,44,119,24,1.252631579,0.002631579
20200304,5,26,112,0,0,0.00,4.42548E-05,1.000,-13,37,0,0.000000000000000000000000000000,1,0,0,5,0,4,0,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.493333333,0.406376811594203000000000000000,0.666666667,-1.190476190476190000000000000000,5,44,143,24,1.201680672,-0.050950907
20200305,5,35,143,0,0,0.00,4.42548E-05,1.000,9,31,0,0.000000000000000000000000000000,1,0,0,5,0,4,0,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.276785714,-0.216547619047619000000000000000,1.346153846,0.679487179487180000000000000000,5,44,183,40,1.27972028,0.078039607
20200306,6,36,163,0,1,20.00,4.42684E-05,1.200,1,20,0,0.200000000000000000000000000000,1,0,0,6,0.166666667,5,1,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.13986014,-0.136925574425574000000000000000,1.028571429,-0.317582417582418000000000000000,5,52,205,22,1.120218579,-0.1595017
20200307,7,30,186,0,1,16.67,4.42684E-05,1.167,-6,23,0,-0.033333333333333200000000000000,1,0,1,8,0.142857143,6,1,1.000,0.000000000000000000000000000000,1,0.000000000000000000000000000000,1.141104294,0.001244154618387890000000000000,0.833333333,-0.195238095238095000000000000000,6,61,223,18,1.087804878,-0.032413701
